bug.id,ground_truth_summary
66,Summary: function arguments should not be optimized away
67,combining @interface and multiple @extends can crash compiler
68,optimization fails with variable in catch clause
69,"Converting from an interface type to a constructor 
which @implements itself causes stack overflow."
70,"Compiler ignores 'delete' statements, can break functionality."
71,better 'this' type checking
72,Bad type inference with goog.isFunction and friends
73,Obfuscated code triggers TypeError in Firefox
74,Compiler fails to find amd module in a subdirectory
75,Wrong code generated if mixing types in ternary operator
76,Record type invalid property not reported on function with @this annotation
77,Try/catch blocks incorporate code not inside original blocks
78,true/false are not always replaced for !0/!1
79,bogus 'missing return' warning
80,"Switched order of ""delete key"" and ""key in"" statements changes semantic"
81,JSCompiler does not recursively resolve typedefs
82,@const dumps type cast information
83,Dependency sorting with closurePass set to false no longer works.
84,Type refining of 'this' raises IllegalArgumentException
85,String conversion optimization is incorrect
86,Classify non-rightmost expressions as problematic
87,Classify non-rightmost expressions as problematic
88,tryFoldArrayAccess does not check for side effects
89,goog.scope doesn't properly check declared functions
90,anonymous object type inference behavior is different when calling constructors
91,ProcessCommonJSModules module$exports failures when checkTypes enabled
92,Error trying to build try-catch block (AST)
93,constant functions not inlined aggressively enough
94,closure compiler screws up a perfectly valid isFunction() implementation
95,Combining temporary strings are over-optimized in advanced build
96,Add support for --manage_closure_dependencies and --only_closure_dependencies with compilation level WHITESPACE_ONLY
97,Preserve doesn't preserve whitespace at start of line
98,weird object literal invalid property error on unrelated object prototype
99,StackOverflowError exception when running closure compiler (javascript attached)
100,assignment to object in conditional causes type error on function w/ record type return type
101,goog.addSingletonGetter prevents unused class removal
102,incomplete function definition crashes the compiler when ideMode is enabled
103,"Identifier minus a negative number needs a space between the ""-""s"
104,externExport with @typedef can generate invalid externs
105,smartNameRemoval causing compiler crash
106,"In ADVANCED mode, Compiler fails to warn about overridden methods with different signatures."
107,"Simple ""Whitespace only"" compression removing ""each"" keyword from ""for each (var x in arr)"" loop"
108,@lends does not work unless class is defined beforehand
109,alert(/ / / / /)
110,Assignment removed when used as an expression result to Array.push
111,ClassCastException during TypeCheck pass
112,Original source line numbers are one-based in source maps.
113,Type checking error when replacing a function with a stub after calling.
114,"Incorrect output if a function is assigned to a variable, and the function contains a variable with the same name"
115,"Optimisation: convert array.join("","") to array.join()"
116, -0.0 becomes 0 even in whitespace mode
117,Converts string properties into numbers in literal object definitions
118,compiler-20110811 crashes with index(1) must be less than size(1)
119,Prototype methods can't be used from the constructor in case prototype is explicitly defined.
120,Exception when emitting code containing getters
121,Last warning or error in output is truncated
122,compiler crashes when  goog.provide used with non string
123,Online CC bug: report java error.
124,Cannot exclude globalThis checks through command line
125,void function () {}(); wrongly identified as having no side effects
126,Closure removes needed code.
127,Column-indicating caret is sometimes not in error output
128,--language_in=ECMASCRIPT5_STRICT results in 1 'use strict' per input file
129,String escaping mishandles null byte
130,@enum does not type correctly
131,"Advanced compilations renames a function and then deletes it, leaving a reference to a renamed but non-existent function"
132,"Cryptic error message on invalid ""@type function"" annotation"
133,Compiler should warn/error when instance methods are operated on
134,unexpected typed coverage of less than 100%
135,no warnings when @private prop is redeclared on subclass
136,Internal Compiler Error on Bullet
